window_id,time,combined,up_ask,down_ask,edge,gross,fee,net
25_10_31_01_00_01_15,25.6,94,40,54,6,1.2000,0.6457,0.5543
25_10_31_03_00_03_15,484.4,98,85,13,2,0.4000,0.2938,0.1062
25_10_31_06_00_06_15,306.0,97,31,66,3,0.6000,0.5597,0.0403
25_10_31_08_00_08_15,690.2,88,22,66,12,2.4000,0.5254,1.8746
25_10_31_10_00_10_15,24.2,94,60,34,6,1.2000,0.6103,0.5897
25_10_31_14_00_14_15,770.1,94,41,53,6,1.2000,0.6495,0.5505
25_10_31_15_00_15_15,483.0,97,26,71,3,0.6000,0.5052,0.0948
25_10_31_20_00_20_15,744.4,95,26,69,5,1.0000,0.5217,0.4783
25_10_31_21_00_21_15,772.0,95,81,14,5,1.0000,0.3320,0.6680
25_11_01_04_00_04_15,763.6,98,92,6,2,0.4000,0.1473,0.2527
25_11_01_07_00_07_15,20.1,97,64,33,3,0.6000,0.5777,0.0223
25_11_01_09_00_09_15,681.1,96,7,89,4,0.8000,0.1783,0.6217
25_11_01_12_00_12_15,601.4,99,92,7,1,0.2000,0.1661,0.0339
25_11_01_16_00_16_15,565.3,98,80,18,2,0.4000,0.3826,0.0174
25_11_01_20_00_20_15,423.5,95,65,30,5,1.0000,0.5666,0.4334
25_11_01_23_00_23_15,560.4,97,19,78,3,0.6000,0.4060,0.1940
25_11_02_02_00_02_15,11.5,96,26,70,4,0.8000,0.5134,0.2866
25_11_02_03_00_03_15,728.7,96,18,78,4,0.8000,0.3970,0.4030
25_11_02_10_00_10_15,311.6,93,17,76,7,1.4000,0.4022,0.9978
25_11_02_12_00_12_15,445.4,96,30,66,4,0.8000,0.5582,0.2418
25_11_02_15_00_15_15,98.9,97,32,65,3,0.6000,0.5690,0.0310
25_11_02_16_00_16_15,36.1,95,12,83,5,1.0000,0.2923,0.7077
25_11_02_20_00_20_15,110.0,95,32,63,5,1.0000,0.5855,0.4145
25_11_02_22_00_22_15,419.9,92,55,37,8,1.6000,0.6456,0.9544
25_11_02_23_00_23_15,11.5,94,62,32,6,1.2000,0.5937,0.6063
25_11_03_02_00_02_15,854.3,95,92,3,5,1.0000,0.0853,0.9147
25_11_03_05_00_05_15,835.0,92,69,23,8,1.6000,0.5067,1.0933
25_11_03_06_00_06_15,640.9,79,34,45,21,4.2000,0.7106,3.4894
25_11_03_07_00_07_15,846.2,99,8,91,1,0.2000,0.1877,0.0123
25_11_03_08_00_08_15,632.7,98,96,2,2,0.4000,0.0519,0.3481
25_11_03_13_00_13_15,818.0,93,28,65,7,1.4000,0.5619,0.8381
25_11_03_16_00_16_15,806.8,96,88,8,4,0.8000,0.2010,0.5990
25_11_03_17_00_17_15,750.0,97,92,5,3,0.6000,0.1275,0.4725
25_11_03_21_00_21_15,300.6,98,79,19,2,0.4000,0.3987,0.0013
25_11_04_04_00_04_15,729.3,98,79,19,2,0.4000,0.3987,0.0013
25_11_04_07_00_07_15,611.9,98,15,83,2,0.4000,0.3309,0.0691
25_11_04_19_00_19_15,831.6,92,42,50,8,1.6000,0.6657,0.9343
25_11_05_03_00_03_15,295.6,95,70,25,5,1.0000,0.5091,0.4909
25_11_05_22_00_22_15,220.8,97,21,76,3,0.6000,0.4371,0.1629
25_11_05_23_00_23_15,700.3,98,83,15,2,0.4000,0.3309,0.0691
25_11_06_09_00_09_15,184.5,98,13,85,2,0.4000,0.2938,0.1062
25_11_06_10_00_10_15,439.2,96,13,83,4,0.8000,0.3060,0.4940
25_11_06_22_00_22_15,790.8,94,30,64,6,1.2000,0.5749,0.6251
25_11_06_23_00_23_15,803.0,95,67,28,5,1.0000,0.5453,0.4547
25_11_07_02_00_02_15,805.3,94,85,9,6,1.2000,0.2341,0.9659
25_11_07_03_00_03_15,278.2,98,88,10,2,0.4000,0.2342,0.1658
25_11_07_14_00_14_15,672.0,96,55,41,4,0.8000,0.6352,0.1648
25_11_07_15_00_15_15,716.2,97,76,21,3,0.6000,0.4371,0.1629
25_11_07_17_00_17_15,782.4,97,88,9,3,0.6000,0.2180,0.3820
25_11_08_05_00_05_15,858.9,99,7,92,1,0.2000,0.1661,0.0339
25_11_08_06_00_06_15,185.9,97,25,72,3,0.6000,0.4927,0.1073
25_11_08_08_00_08_15,674.7,99,95,4,1,0.2000,0.0981,0.1019
25_11_08_09_00_09_15,191.8,97,22,75,3,0.6000,0.4518,0.1482
25_11_08_12_00_12_15,856.1,98,6,92,2,0.4000,0.1473,0.2527
25_11_08_14_00_14_15,474.1,98,15,83,2,0.4000,0.3309,0.0691
25_11_08_15_00_15_15,885.3,96,58,38,4,0.8000,0.6210,0.1790
25_11_08_19_00_19_15,870.0,95,34,61,5,1.0000,0.6022,0.3978
25_11_08_23_00_23_15,636.1,96,35,61,4,0.8000,0.6016,0.1984
25_11_09_01_00_01_15,741.0,94,65,29,6,1.2000,0.5645,0.6355
25_11_09_12_00_12_15,845.3,97,78,19,3,0.6000,0.4060,0.1940
25_11_09_13_00_13_15,511.9,99,91,8,1,0.2000,0.1877,0.0123
25_11_09_14_00_14_15,586.5,94,75,19,6,1.2000,0.4288,0.7712
25_11_09_18_00_18_15,565.4,94,39,55,6,1.2000,0.6412,0.5588
25_11_10_01_00_01_15,750.2,98,96,2,2,0.4000,0.0519,0.3481
25_11_10_03_00_03_15,800.9,99,3,96,1,0.2000,0.0744,0.1256
25_11_10_16_00_16_15,673.0,97,82,15,3,0.6000,0.3374,0.2626
25_11_10_17_00_17_15,651.0,98,83,15,2,0.4000,0.3309,0.0691
25_11_11_00_00_00_15,741.9,99,7,92,1,0.2000,0.1661,0.0339
25_11_11_11_00_11_15,646.7,99,96,3,1,0.2000,0.0744,0.1256
25_11_11_19_00_19_15,149.5,97,13,84,3,0.6000,0.2998,0.3002
25_11_12_00_00_00_15,144.7,98,85,13,2,0.4000,0.2938,0.1062
25_11_12_02_00_02_15,657.2,97,64,33,3,0.6000,0.5777,0.0223
25_11_12_08_00_08_15,585.2,99,93,6,1,0.2000,0.1439,0.0561
25_11_12_15_00_15_15,835.2,93,10,83,7,1.4000,0.2625,1.1375
25_11_12_18_00_18_15,743.3,99,8,91,1,0.2000,0.1877,0.0123
25_11_13_00_00_00_15,804.5,94,42,52,6,1.2000,0.6527,0.5473
25_11_13_06_00_06_15,862.0,97,95,2,3,0.6000,0.0540,0.5460
25_11_13_12_00_12_15,873.8,98,12,86,2,0.4000,0.2745,0.1255
25_11_13_17_00_17_15,823.9,95,43,52,5,1.0000,0.6488,0.3512
25_11_13_19_00_19_15,804.8,97,75,22,3,0.6000,0.4518,0.1482
25_11_14_01_00_01_15,854.4,99,8,91,1,0.2000,0.1877,0.0123
25_11_14_11_00_11_15,873.1,91,8,83,9,1.8000,0.2292,1.5708
25_11_14_17_00_17_15,888.9,94,13,81,6,1.2000,0.3191,0.8809
25_11_14_18_00_18_15,19.0,94,42,52,6,1.2000,0.6527,0.5473
25_11_15_12_00_12_15,831.5,96,88,8,4,0.8000,0.2010,0.5990
25_11_15_18_00_18_15,786.0,90,80,10,10,2.0000,0.2825,1.7175
25_11_15_20_00_20_15,486.0,98,8,90,2,0.4000,0.1918,0.2082
25_11_15_23_00_23_15,809.0,98,11,87,2,0.4000,0.2546,0.1454
25_11_16_08_00_08_15,73.1,96,74,22,4,0.8000,0.4597,0.3403
25_11_16_09_00_09_15,430.3,95,36,59,5,1.0000,0.6166,0.3834
25_11_16_14_00_14_15,740.6,97,68,29,3,0.6000,0.5396,0.0604
25_11_16_16_00_16_15,846.8,95,24,71,5,1.0000,0.4958,0.5042
25_11_16_17_00_17_15,880.8,99,94,5,1,0.2000,0.1213,0.0787
25_11_16_23_00_23_15,226.4,99,5,94,1,0.2000,0.1213,0.0787
25_11_17_03_00_03_15,592.4,99,93,6,1,0.2000,0.1439,0.0561
25_11_17_07_00_07_15,474.8,98,86,12,2,0.4000,0.2745,0.1255
25_11_17_12_00_12_15,317.1,97,20,77,3,0.6000,0.4218,0.1782
25_11_17_14_00_14_15,819.4,96,51,45,4,0.8000,0.6464,0.1536
25_11_17_17_00_17_15,538.7,98,15,83,2,0.4000,0.3309,0.0691
25_11_18_03_00_03_15,299.7,99,6,93,1,0.2000,0.1439,0.0561
25_11_18_09_00_09_15,739.3,93,44,49,7,1.4000,0.6636,0.7364
25_11_18_15_00_15_15,460.9,97,67,30,3,0.6000,0.5499,0.0501
25_11_19_04_00_04_15,222.9,96,44,52,4,0.8000,0.6445,0.1555
25_11_19_12_00_12_15,872.7,94,65,29,6,1.2000,0.5645,0.6355
25_11_19_15_00_15_15,28.4,95,50,45,5,1.0000,0.6528,0.3472
25_11_19_18_00_18_15,794.2,99,92,7,1,0.2000,0.1661,0.0339
25_11_20_02_00_02_15,885.4,97,30,67,3,0.6000,0.5499,0.0501
25_11_20_07_00_07_15,654.6,96,50,46,4,0.8000,0.6478,0.1522
25_11_20_11_00_11_15,721.8,95,49,46,5,1.0000,0.6540,0.3460
25_11_20_13_00_13_15,790.6,97,25,72,3,0.6000,0.4927,0.1073
25_11_20_19_00_19_15,638.4,97,15,82,3,0.6000,0.3374,0.2626
25_11_20_21_00_21_15,331.2,99,91,8,1,0.2000,0.1877,0.0123
25_11_20_22_00_22_15,321.1,98,81,17,2,0.4000,0.3659,0.0341
25_11_21_01_00_01_15,700.6,97,35,62,3,0.6000,0.5935,0.0065
25_11_21_12_00_12_15,841.5,95,29,66,5,1.0000,0.5562,0.4438
25_11_21_16_00_16_15,798.9,94,40,54,6,1.2000,0.6457,0.5543
25_11_21_17_00_17_15,781.9,98,91,7,2,0.4000,0.1698,0.2302
25_11_21_20_00_20_15,808.8,98,17,81,2,0.4000,0.3659,0.0341
25_11_21_21_00_21_15,883.8,97,80,17,3,0.6000,0.3728,0.2272
25_11_22_03_00_03_15,478.5,96,50,46,4,0.8000,0.6478,0.1522
25_11_22_05_00_05_15,787.6,97,14,83,3,0.6000,0.3188,0.2812
25_11_22_18_00_18_15,711.9,99,91,8,1,0.2000,0.1877,0.0123
25_11_22_19_00_19_15,844.9,97,69,28,3,0.6000,0.5287,0.0713
25_11_22_22_00_22_15,807.5,99,97,2,1,0.2000,0.0502,0.1498
25_11_22_23_00_23_15,648.8,99,4,95,1,0.2000,0.0981,0.1019
25_11_23_04_00_04_15,420.2,98,17,81,2,0.4000,0.3659,0.0341
25_11_23_07_00_07_15,723.4,97,27,70,3,0.6000,0.5172,0.0828
25_11_23_08_00_08_15,107.3,95,61,34,5,1.0000,0.6022,0.3978
25_11_23_09_00_09_15,798.3,99,96,3,1,0.2000,0.0744,0.1256
25_11_23_14_00_14_15,567.4,95,25,70,5,1.0000,0.5091,0.4909
25_11_23_18_00_18_15,684.1,95,47,48,5,1.0000,0.6545,0.3455
25_11_23_20_00_20_15,427.1,96,44,52,4,0.8000,0.6445,0.1555
25_11_24_02_00_02_15,73.3,96,51,45,4,0.8000,0.6464,0.1536
25_11_24_03_00_03_15,610.3,99,7,92,1,0.2000,0.1661,0.0339
25_11_24_04_00_04_15,746.0,97,91,6,3,0.6000,0.1510,0.4490
25_11_24_15_00_15_15,665.2,98,93,5,2,0.4000,0.1242,0.2758
25_11_24_17_00_17_15,682.8,99,4,95,1,0.2000,0.0981,0.1019
25_11_24_23_00_23_15,615.6,98,10,88,2,0.4000,0.2342,0.1658
25_11_25_01_00_01_15,882.2,98,92,6,2,0.4000,0.1473,0.2527
25_11_25_02_00_02_15,102.0,92,44,48,8,1.6000,0.6694,0.9306
25_11_25_05_00_05_15,324.0,96,28,68,4,0.8000,0.5370,0.2630
25_11_25_07_00_07_15,781.8,94,69,25,6,1.2000,0.5173,0.6827
25_11_25_16_00_16_15,785.7,99,6,93,1,0.2000,0.1439,0.0561
25_11_26_00_00_00_15,761.1,99,95,4,1,0.2000,0.0981,0.1019
25_11_26_01_00_01_15,738.7,96,14,82,4,0.8000,0.3253,0.4747
25_11_26_03_00_03_15,843.8,91,34,57,9,1.8000,0.6337,1.1663
25_11_26_06_00_06_15,513.3,99,91,8,1,0.2000,0.1877,0.0123
25_11_26_09_00_09_15,834.0,97,21,76,3,0.6000,0.4371,0.1629
25_11_26_14_00_14_15,627.6,98,11,87,2,0.4000,0.2546,0.1454
25_11_26_15_00_15_15,771.8,99,94,5,1,0.2000,0.1213,0.0787
25_11_26_16_00_16_15,336.1,99,94,5,1,0.2000,0.1213,0.0787
25_11_27_05_00_05_15,842.0,93,85,8,7,1.4000,0.2171,1.1829
25_11_27_12_00_12_15,699.7,89,68,21,11,2.2000,0.5017,1.6983
25_11_27_16_00_16_15,666.9,94,42,52,6,1.2000,0.6527,0.5473
25_11_27_21_00_21_15,500.9,97,15,82,3,0.6000,0.3374,0.2626
25_11_27_22_00_22_15,790.9,90,30,60,10,2.0000,0.6075,1.3925
25_11_28_02_00_02_15,608.2,96,58,38,4,0.8000,0.6210,0.1790
25_11_28_04_00_04_15,495.4,97,34,63,3,0.6000,0.5859,0.0141
25_11_28_05_00_05_15,661.6,99,92,7,1,0.2000,0.1661,0.0339
25_11_28_09_00_09_15,886.0,92,32,60,8,1.6000,0.6099,0.9901
25_11_28_13_00_13_15,852.8,98,13,85,2,0.4000,0.2938,0.1062
25_11_28_14_00_14_15,46.6,78,38,40,22,4.4000,0.7252,3.6748
25_11_28_15_00_15_15,683.4,97,7,90,3,0.6000,0.1739,0.4261
25_11_28_16_00_16_15,559.4,99,2,97,1,0.2000,0.0502,0.1498
25_11_28_22_00_22_15,797.6,75,4,71,25,5.0000,0.2414,4.7586
25_11_28_23_00_23_15,40.6,89,60,29,11,2.2000,0.6055,1.5945
25_11_29_00_00_00_15,624.1,94,49,45,6,1.2000,0.6589,0.5411
25_11_29_02_00_02_15,731.3,99,6,93,1,0.2000,0.1439,0.0561
25_11_29_03_00_03_15,236.5,97,71,26,3,0.6000,0.5052,0.0948
25_11_29_07_00_07_15,825.1,94,67,27,6,1.2000,0.5421,0.6579
25_11_29_09_00_09_15,551.2,99,6,93,1,0.2000,0.1439,0.0561
25_11_29_11_00_11_15,546.8,99,8,91,1,0.2000,0.1877,0.0123
25_11_29_14_00_14_15,407.6,98,12,86,2,0.4000,0.2745,0.1255
25_11_29_18_00_18_15,781.6,95,13,82,5,1.0000,0.3124,0.6876
25_11_29_19_00_19_15,741.4,99,92,7,1,0.2000,0.1661,0.0339
25_11_29_23_00_23_15,756.5,98,19,79,2,0.4000,0.3987,0.0013
25_11_30_03_00_03_15,182.1,97,64,33,3,0.6000,0.5777,0.0223
25_11_30_04_00_04_15,421.3,97,70,27,3,0.6000,0.5172,0.0828
25_11_30_06_00_06_15,754.4,97,24,73,3,0.6000,0.4796,0.1204
25_11_30_07_00_07_15,669.4,96,71,25,4,0.8000,0.5008,0.2992
25_11_30_11_00_11_15,352.3,97,66,31,3,0.6000,0.5597,0.0403
25_11_30_13_00_13_15,740.1,96,45,51,4,0.8000,0.6464,0.1536
25_11_30_19_00_19_15,336.1,95,32,63,5,1.0000,0.5855,0.4145
25_11_30_21_00_21_15,456.5,96,44,52,4,0.8000,0.6445,0.1555
25_12_01_02_00_02_15,505.3,97,73,24,3,0.6000,0.4796,0.1204
25_12_01_10_00_10_15,722.8,97,66,31,3,0.6000,0.5597,0.0403
25_12_01_13_00_13_15,327.2,99,93,6,1,0.2000,0.1439,0.0561
25_12_01_16_00_16_15,424.3,98,9,89,2,0.4000,0.2132,0.1868
25_12_01_19_00_19_15,774.2,99,2,97,1,0.2000,0.0502,0.1498
25_12_01_21_00_21_15,502.8,98,94,4,2,0.4000,0.1006,0.2994
25_12_01_22_00_22_15,869.6,97,77,20,3,0.6000,0.4218,0.1782
25_12_01_23_00_23_15,818.3,99,2,97,1,0.2000,0.0502,0.1498
25_12_02_01_00_01_15,440.2,99,96,3,1,0.2000,0.0744,0.1256
25_12_02_10_00_10_15,540.9,99,91,8,1,0.2000,0.1877,0.0123
25_12_02_15_00_15_15,242.1,99,94,5,1,0.2000,0.1213,0.0787
25_12_02_17_00_17_15,305.0,97,85,12,3,0.6000,0.2801,0.3199
25_12_02_22_00_22_15,48.3,95,57,38,5,1.0000,0.6287,0.3713
25_12_03_00_00_00_15,849.2,98,88,10,2,0.4000,0.2342,0.1658
25_12_03_01_00_01_15,717.3,98,92,6,2,0.4000,0.1473,0.2527
25_12_03_03_00_03_15,746.2,98,14,84,2,0.4000,0.3126,0.0874
25_12_03_08_00_08_15,768.4,95,28,67,5,1.0000,0.5453,0.4547
25_12_03_10_00_10_15,600.9,97,18,79,3,0.6000,0.3897,0.2103
25_12_03_12_00_12_15,432.2,98,14,84,2,0.4000,0.3126,0.0874
25_12_03_13_00_13_15,781.1,98,87,11,2,0.4000,0.2546,0.1454
25_12_04_04_00_04_15,321.9,98,16,82,2,0.4000,0.3487,0.0513
25_12_04_08_00_08_15,582.7,98,12,86,2,0.4000,0.2745,0.1255
25_12_04_18_00_18_15,844.6,97,28,69,3,0.6000,0.5287,0.0713
25_12_04_23_00_23_15,443.9,97,76,21,3,0.6000,0.4371,0.1629
25_12_05_00_00_00_15,704.0,99,95,4,1,0.2000,0.0981,0.1019
25_12_05_05_00_05_15,579.5,96,89,7,4,0.8000,0.1783,0.6217
25_12_05_12_00_12_15,787.7,99,4,95,1,0.2000,0.0981,0.1019
25_12_05_13_00_13_15,716.9,99,91,8,1,0.2000,0.1877,0.0123
25_12_05_17_00_17_15,828.0,99,4,95,1,0.2000,0.0981,0.1019
25_12_05_23_00_23_15,302.7,99,5,94,1,0.2000,0.1213,0.0787
25_12_06_00_00_00_15,208.0,98,15,83,2,0.4000,0.3309,0.0691
25_12_06_02_00_02_15,500.4,95,28,67,5,1.0000,0.5453,0.4547
25_12_06_06_00_06_15,435.5,97,62,35,3,0.6000,0.5935,0.0065
25_12_06_07_00_07_15,844.9,92,70,22,8,1.6000,0.4921,1.1079
25_12_06_10_00_10_15,543.4,98,10,88,2,0.4000,0.2342,0.1658
25_12_06_15_00_15_15,493.9,99,3,96,1,0.2000,0.0744,0.1256
25_12_06_17_00_17_15,739.8,87,6,81,13,2.6000,0.2056,2.3944
25_12_06_19_00_19_15,465.4,98,8,90,2,0.4000,0.1918,0.2082
25_12_06_20_00_20_15,661.9,97,33,64,3,0.6000,0.5777,0.0223
25_12_07_00_00_00_15,826.4,75,15,60,25,5.0000,0.5109,4.4891
25_12_07_03_00_03_15,695.2,98,11,87,2,0.4000,0.2546,0.1454
